,128,94,9,122,0,60,26,178,122,111
,128,105,9,128,0,77,20,178,122,116
,133,116,9,144,0,82,20,173,128,116
,133,122,9,156,0,94,15,178,122,116
,128,133,3,161,0,111,20,173,128,122
,133,144,3,178,0,122,9,178,122,122
,128,156,9,190,0,128,9,184,128,116
,116,161,9,195,0,139,9,178,122,122
,94,178,9,212,0,150,9,184,116,116
,71,190,3,224,0,167,9,178,116,122
,54,195,0,229,0,178,3,184,122,116
,31,212,0,240,0,190,3,184,116,122
,20,218,0,252,0,201,3,184,122,128
,15,229,0,255,0,218,0,190,116,122
,20,240,0,255,0,229,0,184,111,128
,31,246,0,255,0,240,3,184,116,128
,54,255,0,255,0,246,0,184,116,128
,71,255,0,255,0,255,3,184,111,122
,88,255,0,255,0,255,0,184,111,128
,111,255,0,255,0,255,0,190,116,128
,128,255,0,255,0,255,0,184,111,128
,150,255,0,255,0,255,3,190,111,128
,161,255,0,255,0,255,0,184,116,128
,184,255,15,255,0,255,3,190,111,128
,201,255,37,255,0,255,0,190,105,128
,218,255,54,255,0,255,3,184,111,128
,224,255,77,255,0,255,9,184,111,128
,240,255,94,255,0,255,3,190,105,128
,240,255,111,255,0,255,9,184,111,128
,252,255,128,255,20,255,15,190,105,128
,255,255,133,255,37,255,9,184,111,133
,255,255,144,255,60,255,15,178,105,128
,255,255,156,255,77,255,20,178,105,133
,255,255,161,255,94,255,15,184,105,133
,255,255,173,255,105,255,20,178,105,128
,255,255,173,255,116,255,20,184,99,128
,252,255,184,255,128,255,26,184,105,133
,246,255,190,255,128,255,31,184,99,133
,246,255,190,255,133,255,26,178,105,128
,235,255,184,255,139,255,31,178,99,133
,229,255,190,255,144,255,37,173,105,139
,218,255,184,255,150,255,43,178,99,139
,212,255,184,255,150,255,37,173,105,133
,201,255,184,255,156,255,43,173,111,139
,195,255,173,255,150,255,48,178,105,133
,184,255,173,255,150,255,54,173,111,139
,173,255,167,255,144,255,54,167,111,144
,161,255,167,255,144,255,48,167,105,139
,156,255,156,255,139,255,54,173,105,133
,144,255,156,255,133,255,60,167,105,139
,139,255,144,255,128,255,60,173,99,144
,128,255,133,255,128,255,65,173,105,139
,122,246,128,255,122,255,65,167,105,133
,111,240,128,255,116,255,71,173,105,139
,105,235,122,255,111,255,71,167,99,139
,94,235,122,255,105,255,77,161,105,139
,82,224,111,255,99,255,77,161,105,144
,77,212,105,255,94,255,82,167,99,139
,71,207,94,252,88,255,88,161,105,139
,65,201,94,246,82,255,94,167,111,144
,54,195,88,235,77,255,88,161,105,144
,60,184,77,229,71,255,88,156,111,139
,65,184,71,218,65,252,94,161,105,144
,77,173,71,212,60,246,99,156,105,144
,82,173,77,207,48,240,105,156,111,139
,94,161,88,201,48,235,105,156,111,144
,94,156,99,190,43,229,111,156,105,144
,94,150,111,190,43,218,111,150,111,139
,88,144,122,178,43,212,116,156,105,139
,88,133,122,167,54,207,122,150,111,144
,71,128,128,161,65,201,122,156,111,139
,60,128,122,156,77,195,116,150,111,144
,48,122,116,144,94,184,128,144,116,144
,37,122,111,139,94,178,128,144,116,139
,20,116,105,128,99,173,128,150,111,139
,9,105,94,128,99,161,128,144,116,144
,0,105,82,122,94,156,133,144,111,139
,0,99,71,116,88,150,128,139,116,144
,0,94,60,111,77,144,133,144,116,139
,0,88,48,99,65,144,139,139,111,144
,0,88,37,94,54,133,144,133,116,139
,0,77,31,88,43,128,144,133,111,144
,0,77,31,82,31,128,139,139,111,139
,0,65,20,77,26,116,144,133,116,144
,0,65,15,71,15,111,144,133,111,144
,0,60,9,65,3,105,150,139,116,139
,0,60,9,60,0,105,144,133,116,144
,0,48,3,60,0,99,150,133,116,139
,0,43,3,54,0,88,150,128,116,139
,0,31,3,48,0,82,156,133,122,139
,0,31,9,43,0,82,150,128,116,139
,0,26,3,43,0,77,156,128,116,139
,0,26,15,31,0,71,156,128,122,144
,0,20,20,31,0,65,161,128,116,139
,0,26,20,26,0,60,161,128,122,144
,0,20,31,26,0,54,167,128,122,144
,0,15,37,20,0,54,167,128,116,139
,3,20,43,15,0,48,167,128,116,144
,20,15,54,9,3,43,167,128,122,144
,31,15,65,9,9,43,173,128,116,139
,43,15,77,3,20,37,167,128,122,139
,54,9,88,0,26,31,173,128,116,144
,60,9,99,3,37,31,173,128,111,139
,77,15,111,0,48,26,178,128,116,144
